Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 shared_docs.py:1(<module>)
        5    0.000    0.000    0.000    0.000 artist.py:850(_set_gc_clip)
       11    0.000    0.000    0.000    0.000 _ufunc_config.py:429(__init__)
        5    0.000    0.000    0.000    0.000 transforms.py:668(<listcomp>)
        1    0.000    0.000    0.000    0.000 _parser.py:300(__init__)
        6    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(inv)
        4    0.000    0.000    0.000    0.000 collections.py:832(set_alpha)
        8    0.000    0.000    0.000    0.000 __init__.py:423(_asdict)
        4    0.000    0.000    0.001    0.000 __init__.py:590(gen_candidates)
       71    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
        1    0.000    0.000    0.009    0.009 linecache.py:1(<module>)
       16    0.000    0.000    0.000    0.000 os.py:800(fsencode)
       24    0.000    0.000    0.000    0.000 common.py:603(<genexpr>)
        5    0.000    0.000    0.000    0.000 pyplot.py:319(draw_if_interactive)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.000    0.000 client.py:771(HTTPConnection)
        1    0.000    0.000    0.000    0.000 equitable_coloring.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:2176(__radd__)
        1    0.000    0.000    0.000    0.000 isomorph.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _asarray.py:298(<setcomp>)
       12    0.000    0.000    0.000    0.000 artist.py:163(<genexpr>)
        1    0.000    0.000    0.000    0.000 text.py:863(get_window_extent)
        8    0.000    0.000    0.000    0.000 parse.py:110(_coerce_args)
        2    0.000    0.000    0.000    0.000 textwrap.py:160(_split)
        1    0.000    0.000    0.001    0.001 axis.py:2260(__init__)
       10    0.000    0.000    0.000    0.000 backend_bases.py:2278(mpl_connect)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1007(AnchoredOffsetbox)
        4    0.000    0.000    0.000    0.000 collections.py:725(set_antialiased)
        6    0.000    0.000    0.000    0.000 deprecation.py:269(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:379(_create_cb_wrapper)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        8    0.000    0.000    0.000    0.000 backend_macosx.py:120(<genexpr>)
        2    0.000    0.000    0.000    0.000 parse.py:1002(_splittype)
        1    0.000    0.000    0.000    0.000 typing.py:1591(_make_nmtuple)
        1    0.000    0.000    0.001    0.001 axis.py:2032(_get_tick_boxes_siblings)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:239(_set_array_types)
        2    0.000    0.000    0.000    0.000 figure.py:752(set_canvas)
        5    0.000    0.000    0.000    0.000 transforms.py:309(xmin)
        1    0.000    0.000    0.000    0.000 hermite_e.py:1635(HermiteE)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1490(_setResultsName)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(create_module)
       24    0.000    0.000    0.000    0.000 tokenize.py:94(<listcomp>)
        1    0.000    0.000    0.000    0.000 convert.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dominance.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        7    0.000    0.000    0.000    0.000 core.py:2555(_arraymethod)
        2    0.000    0.000    0.364    0.182 client.py:1001(_send_output)
        6    0.000    0.000    0.000    0.000 common.py:566(is_string_dtype)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
       33    0.000    0.000    0.000    0.000 pyparsing.py:4246(<genexpr>)
        1    0.000    0.000    0.000    0.000 filters.py:1(<module>)
        2    0.000    0.000    0.011    0.005 collections.py:928(draw)
        1    0.000    0.000    0.000    0.000 indexing.py:575(_LocationIndexer)
        4    0.000    0.000    0.000    0.000 spines.py:355(set_position)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
       11    0.000    0.000    0.000    0.000 transforms.py:2581(get_matrix)
        1    0.000    0.000    0.000    0.000 format.py:230(SeriesFormatter)
        2    0.000    0.000    0.038    0.019 pyplot.py:276(backend_mod)
        8    0.000    0.000    0.000    0.000 ticker.py:2059(closeto)
        1    0.000    0.000    0.000    0.000 rcm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 transforms.py:1912(clear)
        9    0.000    0.000    0.000    0.000 pathlib.py:370(gethomedir)
        1    0.000    0.000    0.000    0.000 pagerank_alg.py:1(<module>)
       33    0.000    0.000    0.000    0.000 text.py:550(set_wrap)
        2    0.000    0.000    0.000    0.000 pathlib.py:1277(mkdir)
       22    0.000    0.000    0.000    0.000 config.py:766(inner)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:186(_set_up_aliases)
        1    0.000    0.000    0.000    0.000 gzip.py:120(GzipFile)
        1    0.000    0.000    0.002    0.002 nx_agraph.py:1(<module>)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        1    0.000    0.000    0.000    0.000 backend_bases.py:142(__init__)
        1    0.000    0.000    0.000    0.000 table.py:30(Cell)
        2    0.000    0.000    0.000    0.000 shape_base.py:82(atleast_2d)
        1    0.000    0.000    0.000    0.000 quopri.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dispatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uu.py:27(<module>)
        1    0.000    0.000    0.000    0.000 scope.py:87(Scope)
       43    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        3    0.000    0.000    0.000    0.000 transforms.py:946(intervaly)
        1    0.000    0.000    0.000    0.000 mathtext.py:1078(StandardPsFonts)
        1    0.000    0.000    0.000    0.000 subprocess.py:1706(_handle_exitstatus)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:4(<module>)
        2    0.000    0.000    0.364    0.182 client.py:1252(request)
        1    0.000    0.000    0.001    0.001 semiconnected.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle.py:405(_Pickler)
        1    0.000    0.000    0.000    0.000 dtypes.py:44(PandasExtensionDtype)
        1    0.000    0.000    0.000    0.000 datetimelike.py:141(AttributesMixin)
        7    0.000    0.000    0.000    0.000 legend_handler.py:136(__init__)
        1    0.000    0.000    0.000    0.000 timedeltas.py:30(TimedeltaIndex)
        1    0.000    0.000    0.000    0.000 methods.py:1(<module>)
        4    0.000    0.000    0.000    0.000 core.py:1425(getmaskarray)
        1    0.000    0.000    0.000    0.000 socket.py:213(socket)
       36    0.000    0.000    0.000    0.000 getlimits.py:39(<lambda>)
        1    0.000    0.000    0.000    0.000 _subplots.py:11(SubplotBase)
        2    0.000    0.000    0.000    0.000 rcsetup.py:130(_validate_date)
        1    0.000    0.000    0.000    0.000 _base.py:1195(_set_title_offset_trans)
        1    0.000    0.000    0.000    0.000 second_order.py:1(<module>)
        1    0.000    0.000    0.000    0.000 basic.py:1(<module>)
       11    0.000    0.000    0.000    0.000 six.py:184(find_module)
       41    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 blocks.py:1520(ExtensionBlock)
        2    0.000    0.000    0.000    0.000 generic.py:10718(_doc_parms)
        1    0.000    0.000    0.000    0.000 __init__.py:849(Handler)
        2    0.000    0.000    0.000    0.000 {method 'getsockopt' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 tzfile.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 mathtext.py:1863(Glue)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1567(addParseAction)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        2    0.000    0.000    1.072    0.536 request.py:139(urlopen)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 ops.py:197(Op)
       35    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
        2    0.000    0.000    0.000    0.000 typing.py:1615(__new__)
        4    0.000    0.000    0.000    0.000 strings.py:2031(_pat_wrapper)
        4    0.000    0.000    0.000    0.000 arraysetops.py:149(unique)
        1    0.000    0.000    0.001    0.001 bethehessianmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3270(Exif)
        1    0.000    0.000    0.000    0.000 pytables.py:2235(DataCol)
        1    0.000    0.000    0.000    0.000 mathtext.py:3294(MathTextParser)
        1    0.000    0.000    0.001    0.001 swap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextmanagers.py:1(<module>)
       16    0.000    0.000    0.000    0.000 axis.py:1512(convert_units)
        2    0.000    0.000    0.002    0.001 construction.py:60(arrays_to_mgr)
        1    0.000    0.000    0.000    0.000 grouper.py:35(Grouper)
       16    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(imag)
        1    0.000    0.000    0.000    0.000 interval_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _optional.py:61(import_optional_dependency)
        6    0.000    0.000    0.000    0.000 __init__.py:798(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1761(resize_event)
       24    0.000    0.000    0.000    0.000 dviread.py:168(<listcomp>)
        2    0.000    0.000    0.000    0.000 nanops.py:396(nanany)
        3    0.000    0.000    0.000    0.000 _base.py:826(get_yaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 polynomial.py:1007(poly1d)
        1    0.000    0.000    0.000    0.000 generic.py:3551(_slice)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        1    0.000    0.000    0.000    0.000 common.py:526(_BytesZipFile)
        2    0.000    0.000    0.000    0.000 client.py:426(flush)
        1    0.000    0.000    0.000    0.000 breadth_first_search.py:1(<module>)
        3    0.000    0.000    0.005    0.002 axis.py:2301(_get_tick)
        1    0.000    0.000    0.000    0.000 orc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:72(matrix)
        1    0.000    0.000    0.000    0.000 iterators.py:5(<module>)
       18    0.000    0.000    0.000    0.000 axis.py:1509(have_units)
        1    0.000    0.000    0.000    0.000 indexers.py:194(ExpandingIndexer)
        6    0.000    0.000    0.000    0.000 patches.py:434(set_fill)
        1    0.000    0.000    0.000    0.000 ops.py:723(BinGrouper)
        1    0.000    0.000    0.000    0.000 scale.py:431(SymmetricalLogScale)
        1    0.000    0.000    0.000    0.000 edgebfs.py:1(<module>)
       16    0.000    0.000    0.000    0.000 axis.py:1570(set_major_formatter)
        4    0.000    0.000    0.000    0.000 socket.py:496(close)
       21    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
        2    0.000    0.000    0.000    0.000 _base.py:2502(<listcomp>)
        1    0.000    0.000    0.000    0.000 adjacency.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
        1    0.000    0.000    0.000    0.000 triangulation.py:4(Triangulation)
        2    0.000    0.000    0.005    0.002 client.py:409(_close_conn)
       19    0.000    0.000    0.000    0.000 tokenize.py:58(group)
        2    0.000    0.000    0.001    0.001 feedparser.py:173(feed)
        4    0.000    0.000    0.000    0.000 base.py:5378(_add_numeric_methods)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 indexers.py:262(GroupbyRollingIndexer)
        2    0.000    0.000    0.000    0.000 {method 'close' of 'pandas._libs.parsers.TextReader' objects}
       17    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.000    0.000 getlimits.py:237(_get_machar)
        1    0.000    0.000    0.000    0.000 harmonic.py:1(<module>)
        2    0.000    0.000    0.000    0.000 common.py:49(is_url)
        8    0.000    0.000    0.000    0.000 core.py:8099(getdoc)
        9    0.000    0.000    0.000    0.000 request.py:614(add_parent)
        1    0.000    0.000    0.000    0.000 request.py:323(Request)
       24    0.000    0.000    0.000    0.000 graphml.py:393(<genexpr>)
        1    0.000    0.000    0.000    0.000 voronoi.py:1(<module>)
        3    0.000    0.000    0.000    0.000 rcsetup.py:487(validate_whiskers)
        1    0.000    0.000    0.000    0.000 request.py:1697(URLopener)
        1    0.000    0.000    0.000    0.000 distance_measures.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
       24    0.000    0.000    0.000    0.000 function.py:36(__init__)
        2    0.000    0.000    0.000    0.000 socket.py:518(type)
        1    0.000    0.000    0.000    0.000 planar_drawing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triplot.py:1(<module>)
       18    0.000    0.000    0.000    0.000 inference.py:289(<genexpr>)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3774(__init__)
        1    0.000    0.000    0.000    0.000 machar.py:1(<module>)
        4    0.000    0.000    0.000    0.000 ticker.py:2295(view_limits)
        1    0.000    0.000    0.001    0.001 chains.py:1(<module>)
        1    0.000    0.000    0.002    0.002 correlation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trifinder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 os.py:42(_get_exports_list)
        1    0.000    0.000    0.000    0.000 posixpath.py:100(split)
        1    0.000    0.000    0.000    0.000 axis.py:30(<listcomp>)
       19    0.000    0.000    0.000    0.000 core.py:1330(make_mask_descr)
        2    0.000    0.000    0.000    0.000 client.py:414(close)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _secondary_axes.py:37(SecondaryAxis)
        1    0.000    0.000    0.001    0.001 nx_yaml.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reshape.py:38(_Unstacker)
        4    0.000    0.000    0.000    0.000 ticker.py:2069(le)
        1    0.000    0.000    0.000    0.000 rrule.py:1416(_rrulestr)
       50    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       16    0.000    0.000    0.000    0.000 figure.py:435(_get_dpi)
        1    0.000    0.000    0.000    0.000 numeric.py:75(zeros_like)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
        1    0.000    0.000    0.000    0.000 range.py:744(_add_numeric_methods_binary)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        4    0.000    0.000    0.000    0.000 common.py:97(stringify_path)
        4    0.000    0.000    0.000    0.000 common.py:67(_expand_user)
        1    0.000    0.000    0.000    0.000 __init__.py:637(RcParams)
        9    0.000    0.000    0.000    0.000 managers.py:1846(_asarray_compat)
       11    0.000    0.000    0.000    0.000 pyparsing.py:646(__iter__)
        2    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
        2    0.000    0.000    0.000    0.000 series.py:4403(reindex)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 heaps.py:1(<module>)
        4    0.000    0.000    0.000    0.000 transforms.py:1327(contains_branch_seperately)
        1    0.000    0.000    0.000    0.000 expr.py:757(Expr)
        1    0.000    0.000    0.000    0.000 ticker.py:1689(Locator)
        5    0.000    0.000    0.000    0.000 backend_bases.py:659(new_gc)
        2    0.000    0.000    0.000    0.000 subprocess.py:1074(wait)
       20    0.000    0.000    0.000    0.000 mixins.py:16(_binary_method)
        1    0.000    0.000    0.000    0.000 sql.py:663(SQLTable)
        1    0.000    0.000    0.000    0.000 offsetbox.py:1656(DraggableBase)
        1    0.000    0.000    0.000    0.000 sudoku.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heaps.py:147(PairingHeap)
        1    0.000    0.000    0.000    0.000 legendre.py:1608(Legendre)
        1    0.000    0.000    0.000    0.000 axis.py:2094(_update_offset_text_position)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
        4    0.000    0.000    0.000    0.000 graph.py:1242(edges)
        1    0.000    0.000    0.000    0.000 utils.py:147(deprecate)
        1    0.000    0.000    0.000    0.000 pathlib.py:845(with_name)
       32    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 pathlib.py:395(_NormalAccessor)
        1    0.000    0.000    0.000    0.000 lazy.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 string_.py:25(StringDtype)
        6    0.000    0.000    0.000    0.000 cm.py:396(set_cmap)
       31    0.000    0.000    0.000    0.000 multiarray.py:634(result_type)
       31    0.000    0.000    0.000    0.000 function_base.py:18(_linspace_dispatcher)
       39    0.000    0.000    0.000    0.000 fromnumeric.py:3071(_ndim_dispatcher)
        1    0.000    0.000    0.000    0.000 numeric.py:250(Int64Index)
        6    0.000    0.000    0.000    0.000 axis.py:763(limit_range_for_scale)
        8    0.000    0.000    0.000    0.000 common.py:1541(_is_dtype)
        1    0.000    0.000    0.000    0.000 __init__.py:610(bubble)
        8    0.000    0.000    0.000    0.000 pyparsing.py:1788(clear)
        6    0.000    0.000    0.000    0.000 collections.py:785(get_edgecolor)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4662(__str__)
        1    0.000    0.000    0.000    0.000 patches.py:617(Shadow)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        5    0.000    0.000    0.000    0.000 transforms.py:319(xmax)
       10    0.000    0.000    0.000    0.000 common.py:348(is_datetime64_dtype)
        1    0.000    0.000    0.004    0.004 testing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:569(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 stackplot.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
       10    0.000    0.000    0.000    0.000 enum.py:852(_high_bit)
        4    0.000    0.000    0.000    0.000 _base.py:2528(<listcomp>)
        2    0.000    0.000    0.001    0.000 nanops.py:853(_nanminmax)
        4    0.000    0.000    0.000    0.000 request.py:411(add_unredirected_header)
        4    0.000    0.000    0.000    0.000 threading.py:81(RLock)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3670(__init__)
       16    0.000    0.000    0.000    0.000 axis.py:1596(set_minor_formatter)
        2    0.000    0.000    0.000    0.000 _base.py:3431(set_ybound)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 threading.py:903(_set_tstate_lock)
        8    0.000    0.000    0.000    0.000 config.py:801(<listcomp>)
        5    0.000    0.000    0.000    0.000 core.py:3124(view)
        1    0.000    0.000    0.000    0.000 base.py:5291(_add_comparison_methods)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1052(TimerBase)
        1    0.000    0.000    0.000    0.000 pytables.py:80(BinOp)
        4    0.000    0.000    0.000    0.000 ssl.py:451(__new__)
        1    0.000    0.000    0.000    0.000 offsetbox.py:179(OffsetBox)
        1    0.000    0.000    0.000    0.000 subprocess.py:426(__init__)
        1    0.000    0.000    0.000    0.000 vitality.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rrule.py:1305(rruleset)
       72    0.000    0.000    0.000    0.000 signal.py:22(<lambda>)
        1    0.000    0.000    0.000    0.000 dates.py:1465(YearLocator)
       15    0.000    0.000    0.000    0.000 range.py:687(__len__)
        1    0.000    0.000    0.000    0.000 date_converters.py:1(<module>)
        1    0.000    0.000    0.000    0.000 figure.py:106(add)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4775(__init__)
        2    0.000    0.000    0.000    0.000 request.py:307(request_host)
        1    0.000    0.000    0.000    0.000 string_.py:337(_add_arithmetic_ops)
        1    0.000    0.000    0.000    0.000 tzinfo.py:18(memorized_timedelta)
        1    0.000    0.000    0.000    0.000 text.py:1523(Annotation)
        2    0.000    0.000    0.000    0.000 nx_pylab.py:456(<listcomp>)
        2    0.000    0.000    0.000    0.000 _base.py:3142(set_xbound)
        8    0.000    0.000    0.000    0.000 collections.py:225(get_offset_transform)
        4    0.000    0.000    0.000    0.000 reportviews.py:992(__init__)
       16    0.000    0.000    0.000    0.000 ticker.py:549(set_useOffset)
        1    0.000    0.000    0.000    0.000 tree.py:1(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:51(_has_surrogates)
        1    0.000    0.000    0.000    0.000 datetimelike.py:225(DatelikeOps)
        1    0.000    0.000    0.000    0.000 scale.py:204(LogTransform)
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        1    0.000    0.000    0.000    0.000 subprocess.py:1048(poll)
        9    0.000    0.000    0.000    0.000 __init__.py:100(__hash__)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(prod)
       11    0.000    0.000    0.000    0.000 patches.py:328(set_edgecolor)
        2    0.000    0.000    0.000    0.000 textpath.py:24(__init__)
        2    0.000    0.000    0.000    0.000 textwrap.py:115(__init__)
        2    0.000    0.000    0.000    0.000 base.py:5303(_add_numeric_methods_add_sub_disabled)
        1    0.000    0.000    0.000    0.000 stata.py:2806(StataStrLWriter)
        4    0.000    0.000    0.000    0.000 axis.py:942(get_inverted)
        1    0.000    0.000    0.000    0.000 nonisomorphic_trees.py:1(<module>)
        4    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 _misc.py:488(_Options)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2033(clip)
       12    0.000    0.000    0.000    0.000 core.py:6566(is_masked)
        2    0.000    0.000    0.000    0.000 parsers.py:1391(_validate_parse_dates_arg)
       27    0.000    0.000    0.000    0.000 gexf.py:236(<genexpr>)
        1    0.000    0.000    0.029    0.029 request.py:2625(getproxies_macosx_sysconf)
        6    0.000    0.000    0.000    0.000 common.py:598(is_excluded_dtype)
       22    0.000    0.000    0.000    0.000 expr.py:280(_op_maker)
       10    0.000    0.000    0.000    0.000 transforms.py:348(intervaly)
        1    0.000    0.000    0.000    0.000 docstring.py:6(Substitution)
        4    0.000    0.000    0.000    0.000 legend_handler.py:181(__init__)
        5    0.000    0.000    0.001    0.000 _base.py:997(<genexpr>)
       12    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
        5    0.000    0.000    0.000    0.000 transforms.py:324(ymax)
        1    0.000    0.000    0.000    0.000 load.py:1(<module>)
        5    0.000    0.000    0.000    0.000 blocks.py:213(get_values)
        1    0.000    0.000    0.000    0.000 planarity.py:715(PlanarEmbedding)
        1    0.000    0.000    0.000    0.000 backend_macosx.py:26(FigureCanvasMac)
        1    0.000    0.000    0.000    0.000 rolling.py:2169(RollingGroupby)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
        1    0.000    0.000    0.000    0.000 typing.py:650(_GenericAlias)
        1    0.000    0.000    0.000    0.000 <decorator-gen-665>:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:623(SpooledTemporaryFile)
        4    0.000    0.000    0.000    0.000 figure.py:147(__call__)
        4    0.000    0.000    0.000    0.000 colors.py:962(__init__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:74(translate)
        2    0.000    0.000    0.000    0.000 cm.py:361(set_clim)
        1    0.000    0.000    0.000    0.000 dtypes.py:312(_finalize)
        1    0.000    0.000    0.000    0.000 dates.py:1114(RRuleLocator)
        1    0.000    0.000    0.001    0.001 recognition.py:1(<module>)
        1    0.000    0.000    0.000    0.000 engines.py:39(AbstractEngine)
        1    0.000    0.000    0.000    0.000 figure.py:1784(clf)
        4    0.000    0.000    0.000    0.000 cm.py:466(changed)
        1    0.000    0.000    0.000    0.000 bz2.py:30(BZ2File)
        1    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
       16    0.000    0.000    0.000    0.000 type_check.py:167(imag)
        1    0.000    0.000    0.000    0.000 css.py:1(<module>)
        1    0.000    0.000    0.176    0.176 pyplot.py:312(new_figure_manager)
        2    0.000    0.000    0.000    0.000 transforms.py:936(p1)
        1    0.000    0.000    0.000    0.000 reaching.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 frozen.py:1(<module>)
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6674(type_aliases_gen)
        6    0.000    0.000    0.000    0.000 six.py:126(__init__)
        3    0.000    0.000    0.000    0.000 generic.py:377(_get_axis)
        6    0.000    0.000    0.000    0.000 rcsetup.py:264(validate_fonttype)
        2    0.000    0.000    0.000    0.000 _base.py:852(_update_transScale)
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:9(_PyxlsbReader)
        1    0.000    0.000    0.000    0.000 _tester.py:1(<module>)
       12    0.000    0.000    0.000    0.000 period.py:54(_field_accessor)
        3    0.000    0.000    0.000    0.000 transforms.py:237(frozen)
        1    0.000    0.000    0.000    0.000 moral.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:1759(_try_wait)
       35    0.000    0.000    0.000    0.000 transforms.py:2051(get_matrix)
        2    0.000    0.000    0.001    0.000 parse.py:1023(_splithost)
        8    0.000    0.000    0.000    0.000 transforms.py:363(height)
        1    0.000    0.000    0.000    0.000 uuid.py:70(SafeUUID)
        3    0.000    0.000    0.000    0.000 expr.py:258(disallow)
        1    0.000    0.000    0.000    0.000 spectrum.py:1(<module>)
        4    0.000    0.000    0.000    0.000 core.py:288(_scalar_fill_value)
        6    0.000    0.000    0.000    0.000 pyparsing.py:2414(__call__)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:839(sort)
        2    0.000    0.000    0.000    0.000 {method 'draw_idle' of '_macosx.FigureCanvas' objects}
        1    0.000    0.000    0.000    0.000 tight_bbox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 colorbar.py:1189(Colorbar)
        1    0.000    0.000    0.000    0.000 unweighted.py:1(<module>)
        1    0.000    0.000    0.000    0.000 backend_tools.py:524(ToolViewsPositions)
        2    0.000    0.000    0.000    0.000 base.py:4275(identical)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        1    0.000    0.000    0.000    0.000 binary.py:1(<module>)
        2    0.000    0.000    0.000    0.000 parsers.py:2099(_set_noconvert_columns)
       10    0.000    0.000    0.000    0.000 axis.py:1359(get_major_locator)
        1    0.000    0.000    0.000    0.000 dates.py:579(DateFormatter)
        8    0.000    0.000    0.000    0.000 core.py:1645(make_mask_none)
        1    0.000    0.000    0.000    0.000 numeric.py:286(UInt64Index)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:2038(IdentityTransform)
        2    0.000    0.000    0.000    0.000 feedparser.py:70(close)
        3    0.000    0.000    0.000    0.000 markers.py:739(_set_tickright)
        1    0.000    0.000    0.000    0.000 spectral.py:1(<module>)
        2    0.000    0.000    0.000    0.000 pyparsing.py:857(<listcomp>)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3606(parseImpl)
       12    0.000    0.000    0.000    0.000 _base.py:2586(_get_axis_list)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:144(_name)
