Number of edges in matching: 18
{('v_bv', 'b_bv'), ('o_tt', 'rh_end_tt_2'), ('g_gy1', 'rc_end_north'), ('b_end_east', 'g_gy2'), ('v_end_east', 'rs_end_north'), ('rh_end_tt_1', 'b_bw'), ('rd_end_south', 'b_end_west'), ('rd_end_north', 'rh_end_north'), ('o_y_tt_end_west', 'nature_end_west'), ('y_rh', 'rh_end_south'), ('y_gy1', 'rc_end_south'), ('b_tt_3', 'rt_end_north'), ('b_v', 'v_end_west'), ('y_rt', 'rt_end_south'), ('w_bw', 'g_w'), ('rs_end_south', 'y_gy2'), ('o_rt', 'o_w_1'), ('rh_end_tt_4', 'rh_end_tt_3')}
         1637436 function calls (1618545 primitive calls) in 26.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    760/7    0.004    0.000    3.304    0.472 <frozen importlib._bootstrap_external>:777(exec_module)
      747    0.004    0.000    0.006    0.000 decorator.py:145(update)
     2531    0.004    0.000    0.065    0.000 re.py:289(_compile)
      760    0.004    0.000    0.169    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      690    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
      932    0.004    0.000    0.007    0.000 functools.py:34(update_wrapper)
     5945    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
     1081    0.004    0.000    0.013    0.000 typing.py:120(_type_check)
     7092    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
    29658    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     2682    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
  784/392    0.003    0.000    0.011    0.000 transforms.py:2366(get_affine)
      303    0.003    0.000    0.005    0.000 sre_compile.py:276(_optimize_charset)
     2517    0.003    0.000    0.003    0.000 {method 'copy' of 'numpy.ndarray' objects}
     1811    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
 1264/419    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
      538    0.003    0.000    0.015    0.000 typing.py:659(__init__)
     6890    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
    16399    0.003    0.000    0.003    0.000 {method 'rstrip' of 'str' objects}
      373    0.003    0.000    0.083    0.000 decorator.py:224(decorate)
       27    0.003    0.000    0.009    0.000 enum.py:134(__new__)
     4248    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     4298    0.003    0.000    0.045    0.000 __init__.py:686(__getitem__)
       96    0.003    0.000    0.018    0.000 traceback.py:285(line)
     2452    0.003    0.000    0.010    0.000 {built-in method builtins.any}
     3912    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
    10780    0.003    0.000    0.005    0.000 mathtext.py:2839(<genexpr>)
     2280    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
1779/1665    0.003    0.000    0.043    0.000 typing.py:255(inner)
     5430    0.003    0.000    0.003    0.000 {built-in method _imp.acquire_lock}
       40    0.003    0.000    0.010    0.000 __init__.py:313(namedtuple)
  857/856    0.003    0.000    0.899    0.001 <frozen importlib._bootstrap>:549(module_from_spec)
 1207/890    0.003    0.000    1.308    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     2387    0.003    0.000    0.052    0.000 inspect.py:606(getdoc)
     1633    0.002    0.000    0.008    0.000 transforms.py:1832(__init__)
     2120    0.002    0.000    0.004    0.000 transforms.py:1702(__init__)
      852    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
       96    0.002    0.000    0.003    0.000 {built-in method matplotlib._path.point_in_path}
2283/1555    0.002    0.000    0.004    0.000 typing.py:720(__hash__)
        3    0.002    0.001    0.006    0.002 decoder.py:343(raw_decode)
     4844    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
     3334    0.002    0.000    0.002    0.000 transforms.py:107(__init__)
       31    0.002    0.000    0.002    0.000 {built-in method io.open}
5489/4350    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
      115    0.002    0.000    0.020    0.000 patches.py:761(_update_patch_transform)
  464/209    0.002    0.000    0.033    0.000 sre_parse.py:435(_parse_sub)
       37    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      852    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1426(_get_spec)
        1    0.002    0.002    0.002    0.002 backend_macosx.py:45(__init__)
      746    0.002    0.000    0.004    0.000 inspect.py:171(_has_code_flag)
       56    0.002    0.000    0.003    0.000 config.py:414(register_option)
      839    0.002    0.000    0.006    0.000 transforms.py:2276(__init__)
      376    0.002    0.000    0.005    0.000 colors.py:197(_to_rgba_no_colorcycle)
      757    0.002    0.000    0.009    0.000 colors.py:161(to_rgba)
  406/404    0.002    0.000    0.032    0.000 series.py:201(__init__)
     8278    0.002    0.000    0.002    0.000 {method 'strip' of 'str' objects}
